id_pais,ano,valor
12,2007,100.0
12,2008,100.0
12,2009,100.0
12,2010,100.0
12,2011,100.0
12,2012,100.0
12,2013,100.0
12,2014,100.0
12,2015,100.0
12,2016,100.0
12,2017,100.0
12,2018,100.0
12,2019,100.0
12,2020,100.0
12,2021,100.0
12,2022,100.0
13,1999,97.0
13,2000,98.9
13,2001,98.6
13,2002,100.0
13,2003,98.8
13,2004,99.0
13,2005,99.1
13,2006,99.5
13,2007,99.5
13,2008,99.7
13,2009,99.9
13,2010,99.9
13,2011,99.9
13,2012,100.0
13,2013,100.0
13,2014,100.0
13,2015,100.0
13,2016,100.0
13,2017,100.0
13,2018,100.0
13,2019,100.0
13,2020,100.0
13,2021,100.0
13,2022,100.0
14,1990,100.0
14,1991,100.0
14,1992,100.0
14,1993,100.0
14,1994,100.0
14,1995,100.0
14,1996,100.0
14,1997,100.0
14,1998,100.0
14,1999,100.0
14,2000,100.0
14,2001,100.0
14,2002,100.0
14,2003,100.0
14,2004,100.0
14,2005,100.0
14,2006,100.0
14,2007,100.0
14,2008,100.0
14,2009,100.0
14,2010,100.0
14,2011,100.0
14,2012,100.0
14,2013,100.0
14,2014,100.0
14,2015,100.0
14,2016,100.0
14,2017,100.0
14,2018,100.0
14,2019,100.0
14,2020,100.0
14,2021,100.0
14,2022,100.0
15,1990,99.9414
15,1991,99.96739
15,1992,99.98718
15,1993,99.99714
15,1994,99.99977
15,1995,100.0
15,1996,100.0
15,1997,100.0
15,1998,100.0
15,1999,100.0
15,2000,100.0
15,2001,100.0
15,2002,100.0
15,2003,100.0
15,2004,100.0
15,2005,100.0
15,2006,100.0
15,2007,100.0
15,2008,100.0
15,2009,100.0
15,2010,100.0
15,2011,100.0
15,2012,100.0
15,2013,100.0
15,2014,100.0
15,2015,100.0
15,2016,100.0
15,2017,100.0
15,2018,100.0
15,2019,100.0
15,2020,100.0
15,2021,100.0
15,2022,100.0
16,1991,14.29
16,1992,9.905419
16,1993,12.71788
16,1994,17.8
16,1995,18.338045
16,1996,21.144386
16,1997,22.4
16,1998,26.746193
16,1999,29.540215
16,2000,32.0
16,2001,35.0
16,2002,37.8
16,2003,40.5
16,2004,40.6
16,2005,44.2
16,2006,50.5
16,2007,46.5
16,2008,54.3
16,2009,57.1
16,2010,55.3
16,2011,59.6
16,2012,65.5
16,2013,61.5
16,2014,62.4
16,2015,74.0
16,2016,75.9
16,2017,88.0
16,2018,86.9
16,2019,92.2
16,2020,96.2
16,2021,99.0
16,2022,99.4
17,1990,99.98425
17,1991,99.99344
17,1992,99.99869
17,1993,100.0
17,1994,100.0
17,1995,100.0
17,1996,100.0
17,1997,100.0
17,1998,100.0
17,1999,100.0
17,2000,100.0
17,2001,100.0
17,2002,100.0
17,2003,100.0
17,2004,99.9
17,2005,99.9
17,2006,100.0
17,2007,100.0
17,2008,100.0
17,2009,100.0
17,2010,100.0
17,2011,100.0
17,2012,100.0
17,2013,100.0
17,2014,100.0
17,2015,100.0
17,2016,100.0
17,2017,100.0
17,2018,100.0
17,2019,100.0
17,2020,100.0
17,2021,100.0
17,2022,100.0
18,1990,100.0
18,1991,100.0
18,1992,100.0
18,1993,100.0
18,1994,100.0
18,1995,100.0
18,1996,100.0
18,1997,100.0
18,1998,100.0
18,1999,100.0
18,2000,89.0
18,2001,89.5
18,2002,90.0
18,2003,90.5
18,2004,91.0
18,2005,91.5
18,2006,92.1
18,2007,92.6
18,2008,93.2
18,2009,93.8
18,2010,94.4
18,2011,95.0
18,2012,95.6
18,2013,96.2
18,2014,96.8
18,2015,97.4
18,2016,98.0
18,2017,98.7
18,2018,99.3
18,2019,100.0
18,2020,100.0
18,2021,100.0
18,2022,100.0
19,1990,100.0
19,1991,100.0
19,1992,100.0
19,1993,100.0
19,1994,100.0
19,1995,100.0
19,1996,100.0
19,1997,100.0
19,1998,100.0
19,1999,100.0
19,2000,100.0
19,2001,100.0
19,2002,100.0
19,2003,100.0
19,2004,100.0
19,2005,100.0
19,2006,100.0
19,2007,100.0
19,2008,100.0
19,2009,100.0
19,2010,100.0
19,2011,100.0
19,2012,100.0
19,2013,100.0
19,2014,100.0
19,2015,100.0
19,2016,100.0
19,2017,100.0
19,2018,100.0
19,2019,100.0
19,2020,100.0
19,2021,100.0
19,2022,100.0
20,1991,67.0
20,1992,72.224915
20,1993,73.12333
20,1994,74.020386
20,1995,74.9154
20,1996,75.80769
20,1997,76.69659
20,1998,77.581406
20,1999,78.46138
20,2000,79.0
20,2001,80.2
20,2002,81.0
20,2003,81.8
20,2004,82.6
20,2005,83.5
20,2006,91.0
20,2007,85.2
20,2008,86.1
20,2009,86.9
20,2010,89.9
20,2011,91.7
20,2012,90.9
20,2013,91.1
20,2014,91.5
20,2015,91.8
20,2016,93.3
20,2017,94.2
20,2018,91.7
20,2019,92.7
20,2020,96.8
20,2021,97.7
20,2022,98.6
21,1996,14.5
21,1997,18.589626
21,1998,19.578255
21,1999,20.562042
21,2000,21.5
21,2001,21.9
21,2002,23.4
21,2003,24.3
21,2004,25.2
21,2005,26.1
21,2006,27.9
21,2007,28.0
21,2008,29.0
21,2009,30.0
21,2010,34.2
21,2011,36.9
21,2012,38.4
21,2013,34.7
21,2014,34.1
21,2015,29.6
21,2016,37.0
