id_unidade,cod_equipamento,nome_unidade,num_unidade,data_entrada_teste,data_entrada_operacao,data_desativacao,potencia_efetiva,combustivel,id_usina
4711,MGLS020UGR1,UG 23P2 MW UFLS_L DO SOL 2          R1 MG,,2022-09-01,2022-10-20,,23.202,FOTOVOLTAICA,1673
4712,MGLS020UGR2,UG 15P4 MW UFLS_L DO SOL 2          R2 MG,,2022-09-01,2022-10-20,,15.468,FOTOVOLTAICA,1673
4713,MGLS020UGR3,UG 10P8 MW UFLS_L DO SOL 2          R3 MG,,2022-09-01,2022-10-20,,10.827,FOTOVOLTAICA,1673
4714,MGLS030UGR4,UG 18P5 MW UFLS_L DO SOL 3          R1 MG,,2022-12-15,2023-03-14,,18.562,FOTOVOLTAICA,1674
4715,MGLS030UGR5,UG 12P3 MW UFLS_L DO SOL 3          R2 MG,,2022-12-15,2023-03-14,,12.374,FOTOVOLTAICA,1674
4716,MGLS030UGR6,UG 18P5 MW UFLS_L DO SOL 3          R3 MG,,2022-12-15,2023-03-14,,18.562,FOTOVOLTAICA,1674
4717,MGLS040R3,UG 15P4 MW UFLS_L DO SOL 4          R3 MG,,2022-12-23,2023-03-14,,15.468,FOTOVOLTAICA,1675
4718,MGLS040UGR1,UG 15P4 MW UFLS_L DO SOL 4          R1 MG,,2022-12-23,2023-03-14,,15.468,FOTOVOLTAICA,1675
4719,MGLS040UGR2,UG 18P5 MW UFLS_L DO SOL 4          R2 MG,,2022-12-23,2023-03-14,,18.562,FOTOVOLTAICA,1675
4720,MGLS050R2,UG 15P4 MW UFLS_L DO SOL 5          R2 MG,,2023-03-16,2023-04-12,,15.468,FOTOVOLTAICA,1676
4721,MGLS050R3,UG 15P4 MW UFLS_L DO SOL 5          R3 MG,,2023-03-16,2023-04-12,,15.468,FOTOVOLTAICA,1676
4722,MGLS050UGR1,UG 18P5 MW UFLS_L DO SOL 5          R1 MG,,2023-03-16,2023-04-12,,18.562,FOTOVOLTAICA,1676
4723,MGLS060R1,UG 18P5 MW UFLS_L DO SOL 6          R1 MG,,2023-03-16,2023-04-12,,18.562,FOTOVOLTAICA,1677
4724,MGLS060R2,UG 18P5 MW UFLS_L DO SOL 6          R2 MG,,2023-03-16,2023-04-12,,18.562,FOTOVOLTAICA,1677
4725,MGLS060R3,UG 12P3 MW UFLS_L DO SOL 6          R3 MG,,2023-03-16,2023-04-12,,12.374,FOTOVOLTAICA,1677
4726,MGLS070UGR2,UG 18P5 MW UFLS_L DO SOL 7          R2 MG,,2022-07-29,2022-09-06,,18.561,FOTOVOLTAICA,1678
4727,MGLS070UGR3,UG 12P3 MW UFLS_L DO SOL 7          R3 MG,,2022-07-29,2022-09-06,,12.374,FOTOVOLTAICA,1678
4728,MGLS070UGR1,UG 18P5 MW UFLS_L DO SOL 7          R1 MG,,2022-07-29,2022-09-06,,18.561,FOTOVOLTAICA,1678
4729,MGLS080UGR1,UG 15P4 MW UFLS_L DO SOL 8          R1 MG,,2022-10-20,2022-11-17,,15.468,FOTOVOLTAICA,1679
4730,MGLS080UGR2,UG 18P5 MW UFLS_L DO SOL 8          R2 MG,,2022-10-20,2022-11-17,,18.561,FOTOVOLTAICA,1679
4731,MGLS080UGR3,UG 15P4 MW UFLS_L DO SOL 8          R3 MG,,2022-10-20,2022-11-17,,15.468,FOTOVOLTAICA,1679
4732,MGLS090UGR3,UG 12P3 MW UFLS_L DO SOL 9          R3 MG,,2022-10-08,2022-10-26,,12.374,FOTOVOLTAICA,1680
4733,MGLS090UGR2,UG 18P5 MW UFLS_L DO SOL 9          R2 MG,,2022-10-08,2022-10-26,,18.561,FOTOVOLTAICA,1680
4734,MGLS090UGR1,UG 18P5 MW UFLS_L DO SOL 9          R1 MG,,2022-10-08,2022-10-26,,18.561,FOTOVOLTAICA,1680
4735,MGUFU10UG11,UG   16 MW UFPU PARACATU 1           2 MG,2.0,2018-11-17,2019-01-09,,16.0,FOTOVOLTAICA,1681
4736,MGUFU10UG1,UG   17 MW UFPU PARACATU 1           1 MG,1.0,2018-11-17,2019-01-09,,17.0,FOTOVOLTAICA,1681
4737,MGUFU20UG1,UG   17 MW UFPU PARACATU 2           1 MG,1.0,2018-11-17,2019-02-09,,17.0,FOTOVOLTAICA,1682
