id_pais,ano,valor
2,2000,30000.0
2,2001,140000.0
2,2002,4390000.0
2,2003,28330000.0
2,2004,0.0
2,2005,10770000.0
2,2006,11620000.0
2,2007,17530000.0
2,2008,18000000.0
2,2009,11020000.0
2,2010,39820000.0
2,2011,32280000.0
2,2012,68790000.0
2,2013,294860000.0
2,2014,7700000.0
2,2015,5440000.0
2,2016,940000.0
2,2017,55220000.0
2,2018,78320000.0
2,2019,5000000.0
2,2020,52550000.0
2,2021,10000.0
2,2022,64440000.0
4,2000,0.0
4,2001,890000.0
4,2002,320000.0
4,2003,100000.0
4,2004,150000.0
4,2005,180000.0
4,2006,0.0
4,2007,0.0
4,2008,0.0
4,2009,2410000.0
4,2010,430000.0
4,2011,0.0
4,2012,950000.0
4,2013,940000.0
4,2014,940000.0
4,2015,900000.0
4,2016,170000.0
4,2017,10000.0
4,2018,50000.0
4,2019,60000.0
4,2020,10000.0
4,2021,100000.0
4,2022,6740000.0
6,2000,0.0
6,2001,0.0
6,2002,0.0
6,2003,50000.0
6,2004,40000.0
6,2005,0.0
6,2006,0.0
6,2007,800000.0
6,2008,0.0
6,2009,0.0
6,2010,20000.0
6,2011,240000.0
6,2012,10000.0
6,2013,0.0
6,2014,124560000.0
6,2015,20000.0
6,2016,4951880000.0
6,2017,0.0
6,2018,130000.0
6,2019,60000.0
6,2020,70000.0
6,2021,0.0
6,2022,82840000.0
7,2000,0.0
7,2001,0.0
7,2002,0.0
7,2003,0.0
7,2004,0.0
7,2005,0.0
7,2006,0.0
7,2007,0.0
7,2008,0.0
7,2009,0.0
7,2010,0.0
7,2011,0.0
7,2012,0.0
7,2013,2820000.0
7,2014,0.0
7,2015,7550000.0
7,2016,0.0
7,2017,21390000.0
7,2018,0.0
7,2019,0.0
7,2020,6960000.0
7,2021,0.0
7,2022,0.0
8,2000,0.0
8,2001,4210000.0
8,2002,0.0
8,2003,60000.0
8,2004,44610000.0
8,2005,310000.0
8,2006,490000.0
8,2007,410000.0
8,2008,25050000.0
8,2009,42690000.0
8,2010,1160000.0
8,2011,75660000.0
8,2012,286710000.0
8,2013,52220000.0
8,2014,2783410000.0
8,2015,124430000.0
8,2016,273900000.0
8,2017,561920000.0
8,2018,427780000.0
8,2019,506210000.0
8,2020,93010000.0
8,2021,2900000.0
8,2022,88820000.0
9,2000,0.0
9,2001,8540000.0
9,2002,60000.0
9,2003,3050000.0
9,2004,11480000.0
9,2005,3380000.0
9,2006,14710000.0
9,2007,1730000.0
9,2008,110000.0
9,2009,520000.0
9,2010,102880000.0
9,2011,1110000.0
9,2012,82080000.0
9,2013,28340000.0
9,2014,10220000.0
9,2015,25470000.0
9,2016,132540000.0
9,2017,1730000.0
9,2018,30330000.0
9,2019,60700000.0
9,2020,27960000.0
9,2021,52850000.0
9,2022,1190000.0
13,2000,5170000.0
13,2001,0.0
13,2002,0.0
13,2003,0.0
13,2004,0.0
13,2005,2460000.0
13,2006,560000.0
13,2007,0.0
13,2008,0.0
13,2009,180000.0
13,2010,204650000.0
13,2011,20000.0
13,2012,0.0
13,2013,0.0
13,2014,20000.0
13,2015,85030000.0
13,2016,10000.0
13,2017,20000.0
13,2018,0.0
13,2019,10000.0
13,2020,10000.0
13,2021,10000.0
13,2022,262750000.0
14,2000,0.0
14,2001,0.0
14,2002,0.0
14,2003,0.0
14,2004,0.0
14,2005,0.0
14,2006,0.0
14,2007,0.0
14,2008,0.0
14,2009,0.0
14,2010,0.0
14,2011,0.0
14,2012,0.0
14,2013,0.0
14,2014,0.0
14,2015,0.0
14,2016,0.0
14,2017,20000.0
14,2018,120000.0
14,2019,620000.0
14,2020,202030000.0
14,2021,2400000.0
14,2022,0.0
16,2000,3360000.0
16,2001,0.0
16,2002,35070000.0
16,2003,50870000.0
16,2004,18700000.0
16,2005,43380000.0
16,2006,20000.0
